card_variant_id,candidate_market_product_pk,has_price_via_overlay,notes,mpr_market_price,mpr_mid_price,mpr_low_price,mpr_high_price,mpr_direct_low_price,mpr_listed_median_price,captured_at,subtype_name,source_name,mpr_row_id
4383,4260,1,at_least_one_price_column_non_null,0.08,0.15,0.01,4.99,,,2026-04-02 03:06:20,Normal,tcgcsv,4087
4395,4888,1,at_least_one_price_column_non_null,0.36,0.4,0.05,10.0,,,2026-04-02 03:06:21,Foil,tcgcsv,4744
4403,3711,1,at_least_one_price_column_non_null,0.15,0.25,0.05,5.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3538
4404,4261,1,at_least_one_price_column_non_null,0.08,0.15,0.02,4.99,,,2026-04-02 03:06:20,Normal,tcgcsv,4088
4408,3712,1,at_least_one_price_column_non_null,0.42,0.48,0.25,5.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3539
4420,4262,1,at_least_one_price_column_non_null,0.07,0.15,0.02,4.99,,,2026-04-02 03:06:20,Normal,tcgcsv,4089
4430,3720,1,at_least_one_price_column_non_null,3.98,4.85,3.36,29.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3547
4437,3723,1,at_least_one_price_column_non_null,0.12,0.15,0.01,3.82,,,2026-04-02 03:06:19,Normal,tcgcsv,3550
4438,3723,1,at_least_one_price_column_non_null,0.12,0.15,0.01,3.82,,,2026-04-02 03:06:19,Normal,tcgcsv,3550
4439,3723,1,at_least_one_price_column_non_null,0.12,0.15,0.01,3.82,,,2026-04-02 03:06:19,Normal,tcgcsv,3550
4440,3723,1,at_least_one_price_column_non_null,0.12,0.15,0.01,3.82,,,2026-04-02 03:06:19,Normal,tcgcsv,3550
4441,3723,1,at_least_one_price_column_non_null,0.12,0.15,0.01,3.82,,,2026-04-02 03:06:19,Normal,tcgcsv,3550
4442,3723,1,at_least_one_price_column_non_null,0.12,0.15,0.01,3.82,,,2026-04-02 03:06:19,Normal,tcgcsv,3550
4446,3725,1,at_least_one_price_column_non_null,39.19,43.69,33.75,420.69,,,2026-04-02 03:06:19,Foil,tcgcsv,3552
4449,3726,1,at_least_one_price_column_non_null,0.22,0.25,0.09,25.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3553
4450,3726,1,at_least_one_price_column_non_null,0.22,0.25,0.09,25.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3553
4469,3735,1,at_least_one_price_column_non_null,0.26,0.26,0.1,5.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3562
4476,4621,1,at_least_one_price_column_non_null,234.17,254.97,191.98,500.0,,,2026-04-02 03:06:20,Foil,tcgcsv,4447
4484,4622,1,at_least_one_price_column_non_null,541.35,422.5,334.69,1300.0,,,2026-04-02 03:06:20,Foil,tcgcsv,4448
4490,3754,1,at_least_one_price_column_non_null,18.41,22.68,16.92,149.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3581
4494,3756,1,at_least_one_price_column_non_null,10.36,12.0,8.7,59.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3583
4498,3758,1,at_least_one_price_column_non_null,19.25,21.23,18.2,75.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3585
4504,3761,1,at_least_one_price_column_non_null,21.12,23.73,20.0,65.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3588
4505,3761,1,at_least_one_price_column_non_null,21.12,23.73,20.0,65.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3588
4507,3762,1,at_least_one_price_column_non_null,0.06,0.1,0.01,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3589
4519,3767,1,at_least_one_price_column_non_null,0.86,0.99,0.26,60.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3594
4531,3773,1,at_least_one_price_column_non_null,4.83,5.79,4.0,39.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3600
4541,3777,1,at_least_one_price_column_non_null,62.51,68.0,54.99,299.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3604
4549,3781,1,at_least_one_price_column_non_null,24.94,27.7,19.77,199.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3608
4562,3787,1,at_least_one_price_column_non_null,0.06,0.12,0.01,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3614
4568,3790,1,at_least_one_price_column_non_null,11.98,17.2,9.48,50.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3617
4578,3793,1,at_least_one_price_column_non_null,16.01,18.53,15.41,49.25,,,2026-04-02 03:06:19,Foil,tcgcsv,3620
4579,4903,1,at_least_one_price_column_non_null,1.8,2.29,1.0,25.0,,,2026-04-02 03:06:21,Foil,tcgcsv,4759
4582,3794,1,at_least_one_price_column_non_null,0.22,0.25,0.1,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3621
4583,3794,1,at_least_one_price_column_non_null,0.22,0.25,0.1,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3621
4593,3799,1,at_least_one_price_column_non_null,4.51,5.49,3.68,30.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3626
4605,3805,1,at_least_one_price_column_non_null,30.28,35.0,30.0,199.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3632
4606,3805,1,at_least_one_price_column_non_null,30.28,35.0,30.0,199.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3632
4614,3809,1,at_least_one_price_column_non_null,53.36,50.38,43.0,75.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3636
4618,3811,1,at_least_one_price_column_non_null,5.98,9.19,5.0,50.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3638
4619,4908,1,at_least_one_price_column_non_null,0.27,0.27,0.01,10.0,,,2026-04-02 03:06:21,Foil,tcgcsv,4764
