card_variant_id,card_canonical_code,card_name,candidate_market_product_pk,candidate_market_product_external_id,match_score,match_reasons,match_confidence,needs_manual_review,cv_variant_key,cv_variant_label,cv_print_id,cv_image_path
4045,OP09-001,Shanks,3591,596919,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,St23,OP09-001::st23,thumbs/OP09-001(ST23).webp
4048,OP09-002,Uta,3593,596921,91,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;source_tcgcsv,low,1,alt,Alt,OP09-002::alt,thumbs/OP09-002alt.webp
4057,OP09-004,Shanks,3596,596924,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,mr,M Anga Alt,OP09-004::m anga alt,thumbs/OP09-004Manga alt.webp
4058,OP09-004,Shanks,3596,596924,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,OP09-004_p1,OP09/parallel/OP09-004_p1.png
4059,OP09-004,Shanks,3596,596924,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_2,Parallel 2,OP09-004_p2,OP09/parallel/OP09-004_p2.png
4060,OP09-004,Shanks,3596,596924,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_3,Parallel 3,OP09-004_p3,OP09/parallel/OP09-004_p3.png
4061,OP09-004,Shanks,3596,596924,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_4,Parallel 4,OP09-004_p4,CS2526ORS2/parallel/OP09-004_p4.png
4062,OP09-004,Shanks,4618,657442,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_5,Parallel 5,OP09-004_p5,OP13/parallel/OP09-004_p5.png
4063,OP09-004,Shanks,4618,657442,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_6,Parallel 6,OP09-004_p6,OP13/parallel/OP09-004_p6.png
4065,OP09-004,Shanks,3596,596924,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,sp,SP1,OP09-004::sp1,thumbs/OP09-004(SP1).webp
4066,OP09-004,Shanks,3596,596924,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,sp,SP2,OP09-004::sp2,thumbs/OP09-004(SP2).webp
4083,OP09-009,Benn.Beckman,3604,596932,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP09-009::alt,thumbs/OP09-009alt.webp
