provenance_folder,card_code,source_url,derived_full_local_path,refresh_status,bytes_written,failure_reason,source_lane,was_protected_skip
ST02,ST02-017,https://en.onepiece-cardgame.com/images/cardlist/card/ST02-017.png,D:\Miru_Assets\ST02\base\ST02-017.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST03,ST03-001,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-001.png,D:\Miru_Assets\ST03\base\ST03-001.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST03,ST03-002,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-002.png,D:\Miru_Assets\ST03\base\ST03-002.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST17,ST03-002,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-002.png,D:\Miru_Assets\ST17\reprint\ST03-002_r1.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=reprint. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST03,ST03-003,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-003.png,D:\Miru_Assets\ST03\base\ST03-003.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST03,ST03-003,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-003.png,D:\Miru_Assets\ST03\alt\ST03-003_alt.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=alt. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
TP05,ST03-003,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-003.png,D:\Miru_Assets\TP05\parallel\ST03-003_p1.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=parallel. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST03,ST03-004,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-004.png,D:\Miru_Assets\ST03\base\ST03-004.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST03,ST03-004,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-004.png,D:\Miru_Assets\ST03\alt\ST03-004_alt.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=alt. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
OP08,ST03-004,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-004.png,D:\Miru_Assets\OP08\parallel\ST03-004_p1.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=parallel. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
SWBS01,ST03-004,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-004.png,D:\Miru_Assets\SWBS01\parallel\ST03-004_p2.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=parallel. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
