printing_id,card_code,variant_key,current_path,refreshed_path,old_byte_size,new_byte_size,old_dimensions,new_dimensions,refresh_status,source_used,notes
1110,OP01-101::alt,alt,OP01\ALTS\OP01-101(alt).png,,9601461,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (9601461b) via alts_highres
1111,OP01-101_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1114,OP01-102::alt,alt,OP01\ALTS\OP01-102 (Alt).png,,298538,0,600x838,,SKIPPED_LOW_RES,,LOW_RES at 600x838 via alts_highres. No better source available.
1115,OP01-102_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1128,OP01-108::alt,alt,OP01\ALTS\OP01-108(ALT).png,,9186365,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (9186365b) via alts_highres
1131,OP01-109::alt,alt,OP01\ALTS\OP01-109 (alt).png,,247679,0,600x838,,SKIPPED_LOW_RES,,LOW_RES at 600x838 via alts_highres. No better source available.
1132,OP01-109_p1,parallel_1,OP01\parallel\OP01-109_p1.png,OP01/parallel/OP01-109_p1.png,203422,203422,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
1143,OP01-114::alt,alt,OP01\ALTS\OP01-114alt.png,,12657303,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (12657303b) via alts_highres
1156,OP01-120::alt,alt,OP01\ALTS\OP01-120 (alt).png,,7280603,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (7280603b) via alts_highres
1157,OP01-120::manga,mr,OP01\ALTS\OP01-120 Manga Rare.jpg,,5583178,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (5583178b) via alts_highres
1161,OP01-120::prb01alt,alt,PRB01\Alts\OP01-120(PRB01alt).jpg,,5128681,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (5128681b) via alts_highres
1164,OP01-120::s n,promo,OP01\ALTS\OP01-120sn.png,P/base/OP01-120.png,4117300,215268,1460x2038,600x838,SKIPPED_BETTER_EXISTS,optcg-api,"ALTS highres (1460x2038, 4117300b) already better than fetched (600x838, 215268b)"
1158,OP01-120_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1159,OP01-120_p2,parallel_2,OP01\parallel\OP01-120_p2.png,OP01/parallel/OP01-120_p2.png,194681,194681,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
1160,OP01-120_p5,parallel_5,PRB01\parallel\OP01-120_p5.png,PRB01/parallel/OP01-120_p5.png,194213,194213,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
1162,OP01-120_r1,r1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1163,OP01-120_r2,r2,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1167,OP01-121::a t2,operator_review,OP05\ALTS\SP\OP01-121at2.png,,17362738,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (17362738b) via alts_highres
1168,OP01-121::alt,alt,OP01\ALTS\OP01-121 (alt).png,,14720295,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (14720295b) via alts_highres
1172,OP01-121::prb01alt,alt,PRB01\Alts\OP01-121(PRB01alt).jpg,,6500255,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (6500255b) via alts_highres
1169,OP01-121_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1170,OP01-121_p2,parallel_2,OP05\parallel\OP01-121_p2.png,OP05/parallel/OP01-121_p2.png,227644,227644,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
1171,OP01-121_p4,parallel_4,PRB01\parallel\OP01-121_p4.png,PRB01/parallel/OP01-121_p4.png,245995,245995,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
1173,OP01-121_r1,r1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
