canonical_code,card_name,rarity,variant_key,variant_label,is_base,tcgplayer_product_id,tcgplayer_market_price
EB04-012,Kikunojo,SR,alt,Alt,0,,
EB04-012,Kikunojo,SR,base,Base,1,,
EB04-012,Kikunojo,SR,parallel_1,Parallel 1,0,,
EB04-013,Carrot,SR,alt,Alt,0,,
EB04-013,Carrot,SR,base,Base,1,,
EB04-013,Carrot,SR,parallel_1,Parallel 1,0,,
EB04-014,Kozuki Sukiyaki,C,base,Base,1,,
EB04-015,Jinbe,R,base,Base,1,,
EB04-016,Bird Neptunian,C,base,Base,1,,
EB04-017,Mystoms,C,base,Base,1,,
EB04-018,Megalo,R,alt,Alt,0,,
EB04-018,Megalo,R,base,Base,1,,
EB04-018,Megalo,R,parallel_1,Parallel 1,0,,
EB04-019,Eleclaw,R,base,Base,1,,
EB04-020,Shark Brick Fist,C,base,Base,1,,
EB04-021,Igaram,C,base,Base,1,,
EB04-022,Issho,R,alt,Alt,0,,
EB04-022,Issho,R,base,Base,1,,
EB04-022,Issho,R,parallel_1,Parallel 1,0,,
EB04-023,Chaka & Pell,R,base,Base,1,,
EB04-023,Chaka & Pell,R,promo,Standardbattle,0,,
EB04-024,Terracotta,C,base,Base,1,,
EB04-025,Nefeltari Vivi,SR,alt,Alt,0,,
EB04-025,Nefeltari Vivi,SR,base,Base,1,,
EB04-025,Nefeltari Vivi,SR,parallel_1,Parallel 1,0,,
EB04-026,Bluegrass,C,base,Base,1,,
EB04-027,Boa Hancock,R,base,Base,1,,
EB04-028,Ice Time,R,base,Base,1,,
EB04-029,I Heard the Sound...of a Lady's Teardrops Falling,UC,base,Base,1,,
EB04-030,Kaido,R,base,Base,1,,
EB04-031,King,R,alt,Alt,0,,
EB04-031,King,R,base,Base,1,,
EB04-031,King,R,parallel_1,Parallel 1,0,,
EB04-032,Queen,R,base,Base,1,,
EB04-033,Groggy Monsters,C,base,Base,1,,
EB04-034,Charlotte Pudding,C,base,Base,1,,
EB04-035,Hitokiri Kamazo,C,base,Base,1,,
EB04-036,Foxy,SR,alt,Alt,0,,
EB04-036,Foxy,SR,base,Base,1,,
EB04-036,Foxy,SR,parallel_1,Parallel 1,0,,
EB04-037,Porche,C,base,Base,1,,
EB04-038,Rosinante & Law,SR,alt,Alt,0,,
EB04-038,Rosinante & Law,SR,base,Base,1,,
EB04-038,Rosinante & Law,SR,parallel_1,Parallel 1,0,,
EB04-039,"Eustass""Captain""Kid",R,base,Base,1,,
EB04-039,"Eustass""Captain""Kid",R,parallel_1,Parallel 1,0,,
EB04-039,"Eustass""Captain""Kid",R,sp,SP,0,,
EB04-040,Flame Dragon Torch,R,base,Base,1,,
EB04-041,Stealth Black,C,base,Base,1,,
EB04-043,Kaku,R,alt,Alt,0,,
EB04-044,Koby,SR,alt,Alt,0,,
EB04-044,Koby,SR,mr,Manga,0,,
EB04-048,Rob Lucci,SR,alt,Alt,0,,
EB04-052,Sanji,R,alt,Alt,0,,
EB04-058,Borsalino,SR,alt,Alt,0,,
EB04-061,Monkey.D.Luffy,SEC,alt,Alt,0,,
EB04-061,Monkey.D.Luffy,SEC,promo,Serial,0,,
OP01-001,Monkey D. Luffy,L,alt,Alt,0,,
OP01-001,Monkey D. Luffy,L,base,Base,1,,
OP01-001,Monkey D. Luffy,L,parallel_1,Parallel 1,0,,
OP01-001,Monkey D. Luffy,L,parallel_2,Parallel 2,0,,
OP01-001,Monkey D. Luffy,L,promo,25Th,0,,
OP01-002,Trafalgar Law,SR,alt,Alt,0,,
OP01-002,Trafalgar Law,SR,base,Base,1,,
OP01-002,Trafalgar Law,SR,parallel_1,Parallel 1,0,,
OP01-003,Monkey.D.Luffy,L,alt,Alt,0,,
OP01-003,Monkey.D.Luffy,L,base,Base,1,,
OP01-003,Monkey.D.Luffy,L,parallel_1,Parallel 1,0,,
OP01-004,Usopp,R,alt,Alt,0,,
OP01-004,Usopp,R,base,Base,1,,
OP01-004,Usopp,R,parallel_1,Parallel 1,0,,
OP01-004,Usopp,R,promo,1St Anniversary Alt,0,,
OP01-005,Uta,R,alt,Alt,0,,
OP01-005,Uta,R,alt,Alt Art 2,0,,
OP01-005,Uta,R,base,Base,1,,
OP01-005,Uta,R,parallel_1,Parallel 1,0,,
OP01-005,Uta,R,parallel_2,Parallel 2,0,,
OP01-005,Uta,R,promo,Film,0,,
OP01-005,Uta,R,promo,Film2,0,,
OP01-006,Otama,UC,alt,Alt,0,,
OP01-006,Otama,UC,alt,Alt Art 2,0,,
OP01-006,Otama,UC,alt,Prb01Alt1,0,,
OP01-006,Otama,UC,alt,Prb01Alt2,0,,
OP01-006,Otama,UC,base,Base,1,,
OP01-006,Otama,UC,parallel_1,Parallel 1,0,,
OP01-006,Otama,UC,parallel_3,Parallel 3,0,,
OP01-006,Otama,UC,parallel_4,Parallel 4,0,,
OP01-006,Otama,UC,parallel_5,Parallel 5,0,,
OP01-006,Otama,UC,r1,R1,0,,
OP01-007,Caribou,C,base,Base,1,,
