id,source_name,market_product_id,market_group_id,market_category_id,product_name,clean_product_name,market_variant_label,market_set_name,market_set_code,market_number,rarity_market,subtype_support,active,url,image_url,raw_payload_json,created_at,updated_at
407,tcgcsv,454605,3188,68,Pacifista,Pacifista,,,OP01,OP01-075,C,0,1,https://www.tcgplayer.com/product/454605/one-piece-card-game-romance-dawn-pacifista,,,2026-04-01 22:09:08,2026-04-01 22:09:08
408,tcgcsv,454606,3188,68,Bellamy,Bellamy,,,OP01,OP01-076,C,0,1,https://www.tcgplayer.com/product/454606/one-piece-card-game-romance-dawn-bellamy,,,2026-04-01 22:09:08,2026-04-01 22:09:08
409,tcgcsv,454607,3188,68,Perona,Perona,,,OP01,OP01-077,UC,0,1,https://www.tcgplayer.com/product/454607/one-piece-card-game-romance-dawn-perona,,,2026-04-01 22:09:08,2026-04-01 22:09:08
410,tcgcsv,454608,3188,68,Boa Hancock,Boa Hancock,,,OP01,OP01-078,SR,0,1,https://www.tcgplayer.com/product/454608/one-piece-card-game-romance-dawn-boa-hancock,,,2026-04-01 22:09:08,2026-04-01 22:09:08
411,tcgcsv,454609,3188,68,Boa Hancock (Parallel),Boa Hancock Parallel,Parallel,,OP01,OP01-078,SR,0,1,https://www.tcgplayer.com/product/454609/one-piece-card-game-romance-dawn-boa-hancock-parallel,,,2026-04-01 22:09:08,2026-04-01 22:09:08
412,tcgcsv,454610,3188,68,Ms. All Sunday,Ms All Sunday,,,OP01,OP01-079,R,0,1,https://www.tcgplayer.com/product/454610/one-piece-card-game-romance-dawn-ms-all-sunday,,,2026-04-01 22:09:08,2026-04-01 22:09:08
413,tcgcsv,454611,3188,68,Miss Doublefinger(Zala),Miss DoublefingerZala,Zala,,OP01,OP01-080,C,0,1,https://www.tcgplayer.com/product/454611/one-piece-card-game-romance-dawn-miss-doublefingerzala,,,2026-04-01 22:09:08,2026-04-01 22:09:08
414,tcgcsv,454612,3188,68,Mocha,Mocha,,,OP01,OP01-081,C,0,1,https://www.tcgplayer.com/product/454612/one-piece-card-game-romance-dawn-mocha,,,2026-04-01 22:09:08,2026-04-01 22:09:08
415,tcgcsv,454613,3188,68,Monet,Monet,,,OP01,OP01-082,C,0,1,https://www.tcgplayer.com/product/454613/one-piece-card-game-romance-dawn-monet,,,2026-04-01 22:09:08,2026-04-01 22:09:08
416,tcgcsv,454614,3188,68,Mr.1 (Daz.Bonez),Mr1 DazBonez,Daz.Bonez,,OP01,OP01-083,UC,0,1,https://www.tcgplayer.com/product/454614/one-piece-card-game-romance-dawn-mr1-dazbonez,,,2026-04-01 22:09:08,2026-04-01 22:09:08
