card_id,card_image_id,set_name,set_id,card_name,rarity,inferred_treatment,inferred_treatment_confidence,card_image_url,local_canonical_code_match,local_variant_match_id,local_image_asset_exists,gap_status,raw_json_path
OP01-047,OP01-047_p1,Romance Dawn,OP-01,Trafalgar Law (047) (Parallel),SR,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-047_p1.jpg,yes,928,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-047.json
OP01-047,OP01-047_p2,Kingdoms of Intrigue,OP-04,Trafalgar Law (SP),SR,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-047_p2.jpg,yes,929,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-047.json
OP01-047,OP01-047_p4,Premium Booster -The Best-,PRB-01,Trafalgar Law (OP01-047) (Alternate Art),SR,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-047_p4.jpg,yes,930,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-047.json
OP01-047,OP01-047_r1,Premium Booster -The Best-,PRB-01,Trafalgar Law,SR,reprint,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-047_r1.png,yes,932,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-047.json
OP01-048,OP01-048,Romance Dawn,OP-01,Nekomamushi,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-048.jpg,yes,934,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-048.json
OP01-048,OP01-048_p1,Romance Dawn,OP-01,Nekomamushi (Box Topper),C,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-048_p1.jpg,yes,937,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-048.json
OP01-049,OP01-049,Romance Dawn,OP-01,Bepo,R,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-049.jpg,yes,938,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-049.json
OP01-050,OP01-050,Romance Dawn,OP-01,Penguin,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-050.jpg,yes,940,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-050.json
OP01-051,OP01-051,Romance Dawn,OP-01,"Eustass""Captain""Kid",SR,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-051.jpg,yes,942,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-051.json
OP01-051,OP01-051_p1,Romance Dawn,OP-01,"Eustass""Captain""Kid (Parallel)",SR,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-051_p1.jpg,yes,945,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-051.json
