id,printing_id,market_product_id,mapping_confidence,mapping_method,is_preferred
190,1211,481,HIGH,exact_code_plus_base_flag,1
224,1221,515,HIGH,exact_code_plus_base_flag,1
228,1221,519,HIGH,exact_code_plus_base_flag,1
1050,1221,1458,HIGH,exact_code_plus_base_flag,1
2415,1221,2975,HIGH,exact_code_plus_base_flag,1
2745,1221,3364,HIGH,exact_code_plus_base_flag,1
732,1234,1084,HIGH,exact_code_plus_base_flag,1
2761,1234,3383,HIGH,exact_code_plus_base_flag,1
2762,1234,3384,HIGH,exact_code_plus_base_flag,1
226,1244,517,HIGH,exact_code_plus_base_flag,1
225,1248,516,HIGH,exact_code_plus_base_flag,1
461,1248,775,HIGH,exact_code_plus_base_flag,1
627,1248,967,HIGH,exact_code_plus_base_flag,1
2585,1248,3158,HIGH,exact_code_plus_base_flag,1
2664,1248,3257,HIGH,exact_code_plus_base_flag,1
2665,1248,3258,HIGH,exact_code_plus_base_flag,1
2763,1248,3385,HIGH,exact_code_plus_base_flag,1
2887,1248,3539,HIGH,exact_code_plus_base_flag,1
2586,1260,3159,HIGH,exact_code_plus_base_flag,1
1009,1267,1406,HIGH,exact_code_plus_base_flag,1
1010,1267,1407,HIGH,exact_code_plus_base_flag,1
195,1275,486,HIGH,exact_code_plus_base_flag,1
194,1279,485,HIGH,exact_code_plus_base_flag,1
200,1291,491,HIGH,exact_code_plus_base_flag,1
205,1295,496,HIGH,exact_code_plus_base_flag,1
525,1304,859,HIGH,exact_code_plus_base_flag,1
1011,1304,1408,HIGH,exact_code_plus_base_flag,1
1012,1304,1409,HIGH,exact_code_plus_base_flag,1
440,1309,748,HIGH,exact_code_plus_base_flag,1
441,1309,749,HIGH,exact_code_plus_base_flag,1
442,1309,750,HIGH,exact_code_plus_base_flag,1
469,1309,795,HIGH,exact_code_plus_base_flag,1
470,1309,796,HIGH,exact_code_plus_base_flag,1
471,1309,797,HIGH,exact_code_plus_base_flag,1
181,1314,472,HIGH,exact_code_plus_base_flag,1
827,1314,1196,HIGH,exact_code_plus_base_flag,1
598,1328,937,HIGH,exact_code_plus_base_flag,1
176,1331,467,HIGH,exact_code_plus_base_flag,1
518,1336,851,HIGH,exact_code_plus_base_flag,1
196,1352,487,HIGH,exact_code_plus_base_flag,1
220,1358,511,HIGH,exact_code_plus_base_flag,1
577,1364,915,HIGH,exact_code_plus_base_flag,1
578,1364,916,HIGH,exact_code_plus_base_flag,1
592,1364,930,HIGH,exact_code_plus_base_flag,1
612,1364,951,HIGH,exact_code_plus_base_flag,1
613,1364,952,HIGH,exact_code_plus_base_flag,1
614,1364,953,HIGH,exact_code_plus_base_flag,1
2613,1367,3193,HIGH,exact_code_plus_base_flag,1
2614,1374,3194,HIGH,exact_code_plus_base_flag,1
221,1377,512,HIGH,exact_code_plus_base_flag,1
206,1381,497,HIGH,exact_code_plus_base_flag,1
497,1381,828,HIGH,exact_code_plus_base_flag,1
654,1381,1001,HIGH,exact_code_plus_base_flag,1
222,1391,513,HIGH,exact_code_plus_base_flag,1
967,1395,1361,HIGH,exact_code_plus_base_flag,1
978,1395,1373,HIGH,exact_code_plus_base_flag,1
983,1395,1378,HIGH,exact_code_plus_base_flag,1
986,1395,1381,HIGH,exact_code_plus_base_flag,1
991,1395,1386,HIGH,exact_code_plus_base_flag,1
992,1395,1387,HIGH,exact_code_plus_base_flag,1
4035,1407,4810,HIGH,exact_code_plus_base_flag,1
4036,1407,4811,HIGH,exact_code_plus_base_flag,1
197,1416,488,HIGH,exact_code_plus_base_flag,1
198,1420,489,HIGH,exact_code_plus_base_flag,1
218,1424,509,HIGH,exact_code_plus_base_flag,1
514,1424,847,HIGH,exact_code_plus_base_flag,1
219,1450,510,HIGH,exact_code_plus_base_flag,1
1753,1450,2261,HIGH,exact_code_plus_base_flag,1
209,1456,500,HIGH,exact_code_plus_base_flag,1
2735,1464,3347,HIGH,exact_code_plus_base_flag,1
2736,1464,3348,HIGH,exact_code_plus_base_flag,1
2856,1464,3508,HIGH,exact_code_plus_base_flag,1
199,1477,490,HIGH,exact_code_plus_base_flag,1
2636,1477,3222,HIGH,exact_code_plus_base_flag,1
203,1486,494,HIGH,exact_code_plus_base_flag,1
563,1486,901,HIGH,exact_code_plus_base_flag,1
2714,1486,3319,HIGH,exact_code_plus_base_flag,1
2715,1486,3320,HIGH,exact_code_plus_base_flag,1
443,1493,751,HIGH,exact_code_plus_base_flag,1
444,1493,752,HIGH,exact_code_plus_base_flag,1
445,1493,753,HIGH,exact_code_plus_base_flag,1
472,1493,798,HIGH,exact_code_plus_base_flag,1
473,1493,799,HIGH,exact_code_plus_base_flag,1
474,1493,800,HIGH,exact_code_plus_base_flag,1
523,1493,857,HIGH,exact_code_plus_base_flag,1
729,1493,1081,HIGH,exact_code_plus_base_flag,1
2637,1493,3223,HIGH,exact_code_plus_base_flag,1
215,1498,506,HIGH,exact_code_plus_base_flag,1
564,1498,902,HIGH,exact_code_plus_base_flag,1
1754,1498,2262,HIGH,exact_code_plus_base_flag,1
