card_code,printing_id,variant_key,is_base,is_sp,is_tr,is_alt,is_manga_rare,is_golden_manga_rare,is_illustration_rare,is_promo,expected_path,discovery_status
OP01-033,875,parallel_6,0,0,0,0,0,0,0,0,OP01/parallel/OP01-033_p6.png,FETCH_NEEDED
OP01-033,877,r1,1,0,0,0,0,0,0,0,OP01/base/OP01-033.png,DISK_MATCH_FOUND
OP01-034,880,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-034_alt.png,FETCH_NEEDED
OP01-034,881,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-034_p1.png,FETCH_NEEDED
OP01-035,884,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-035_alt.png,FETCH_NEEDED
OP01-035,885,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-035_alt.png,FETCH_NEEDED
OP01-035,886,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-035_p1.png,FETCH_NEEDED
OP01-035,887,parallel_2,0,0,0,0,0,0,0,0,OP01/parallel/OP01-035_p2.png,FETCH_NEEDED
OP01-035,888,parallel_3,0,0,0,0,0,0,0,0,OP01/parallel/OP01-035_p3.png,FETCH_NEEDED
OP01-035,889,sp,0,1,0,0,0,0,0,0,OP01/sp/OP01-035_sp.png,FETCH_NEEDED
OP01-039,898,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-039_alt.png,FETCH_NEEDED
OP01-039,899,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-039_p1.png,FETCH_NEEDED
OP01-039,900,r1,1,0,0,0,0,0,0,0,OP01/base/OP01-039.png,DISK_MATCH_FOUND
