card_code,printing_id,variant_key,mapped_product_id,market_price,mid_price,low_price,image_path,mapping_confidence,release_set_code,certification_status,failure_reason
OP01-015,775,alt,,,,,thumbs/OP01-015alt.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-015,773,base,343,0.26,0.32,0.1,OP01/base/OP01-015.png,HIGH,OP01,CERTIFIED,
OP01-015,776,parallel_1,,,,,ORP2024V3/parallel/OP01-015_p1.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-016,781,alt,,,,,thumbs/OP01-016alt.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-016,783,alt,,,,,thumbs/OP01-016(alt2).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-016,784,alt,,,,,thumbs/OP01-016alt3.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-016,785,alt,,,,,thumbs/OP01-016alt4.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-016,786,alt,,,,,thumbs/OP01-016alt7.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-016,795,alt,,,,,thumbs/OP01-016(ST10 alt ).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-016,777,base,344,1.78,2.99,1.0,OP01/base/OP01-016.png,HIGH,OP01,CERTIFIED,
OP01-016,787,mr,,,,,OP01/manga/OP01-016_mr.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-016,788,parallel_1,817,43.84,96.0,69.99,OP01/parallel/OP01-016_p1.png,HIGH,OP01,CERTIFIED,
OP01-016,789,parallel_2,,,,,PCC25/parallel/OP01-016_p2.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-016,790,parallel_3,,,,,OP01/parallel/OP01-016_p3.png,,ST10,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-016,791,parallel_4,,,,,OP05/parallel/OP01-016_p4.png,,OP05,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-016,792,parallel_5,,,,,GC01/parallel/OP01-016_p5.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-016,793,parallel_7,,,,,OP01/parallel/OP01-016_p7.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-016,794,parallel_8,,,,,OP01/parallel/OP01-016_p8.png,,PRB01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-016,779,promo,,,,,P/base/OP01-016.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-016,780,promo,,,,,P/base/OP01-016.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-017,799,alt,,,,,thumbs/OP01-017(alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-017,800,alt,,,,,thumbs/OP01-017alt2.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-017,796,base,346,0.39,0.49,0.1,OP01/base/OP01-017.png,HIGH,OP01,CERTIFIED,
OP01-017,803,parallel_1,,,,,PCCFR/parallel/OP01-017_p1.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-017,804,parallel_2,,,,,ANN1EN/parallel/OP01-017_p2.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-017,798,promo,,,,,P/base/OP01-017.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-017,801,promo,,,,,P/base/OP01-017.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-017,802,promo,,,,,P/base/OP01-017.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-018,805,base,347,0.07,0.15,0.01,OP01/base/OP01-018.png,HIGH,OP01,CERTIFIED,
OP01-019,807,base,348,0.12,0.2,0.03,OP01/base/OP01-019.png,HIGH,OP01,CERTIFIED,
OP01-020,809,base,349,0.07,0.15,0.01,OP01/base/OP01-020.png,HIGH,OP01,CERTIFIED,
OP01-021,813,alt,,,,,thumbs/OP01-021(Alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-021,814,alt,,,,,thumbs/OP01-021(alt2).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-021,817,alt,,,,,thumbs/OP01-021(fullalt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-021,811,base,350,0.2,0.21,0.01,OP01/base/OP01-021.png,HIGH,OP01,CERTIFIED,
OP01-021,818,parallel_1,,,,,PCCFR/parallel/OP01-021_p1.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-021,819,parallel_2,,,,,TP02/parallel/OP01-021_p2.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-021,820,parallel_3,,,,,GC01/parallel/OP01-021_p3.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-021,815,promo,,,,,P/base/OP01-021.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-021,816,promo,,,,,P/base/OP01-021.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
